Name,Comp_Class,Type
D-(-)-Glutamine,amino acid,
D-(+)-Tryptophan,amino acid,AAA
disofenin,amino acid,
DL-Arginine,amino acid,
DL-Glutamic acid,amino acid,
DL-Glutamine,amino acid,
DL-Phenylalanine,amino acid,AAA
DL-Tryptophan,amino acid,AAA
L-(-)-Asparagine,amino acid,
L-(-)-Serine,amino acid,
L-(-)-Threonine,amino acid,
L-(+)-Arginine,amino acid,
L-(+)-Cysteine,amino acid,
L-(+)-Leucine,amino acid,
L-Aspartic acid,amino acid,
L-Glutamic acid,amino acid,
L-Histidine,amino acid,
L-Norleucine,amino acid,non-proteinogenic
L-Phenylalanine,amino acid,AAA
L-Tyrosine,amino acid,AAA
N-α-L-Acetyl-arginine,amino acid,
"Cyanidin-3,5-O-diglc",Anthocyanidin,
"Delphinidin-3,5-O-diglc",Anthocyanidin,
Kuromanin,Anthocyanidin,
"Delphinidin-3,5-O-diglc - standard_list",Anthocyanidin,
"Cyanidin-3,5-O-diglc - standard_list",Anthocyanidin,
Cyanidin - standard_list,Anthocyanidin,
Delphinidin - standard_list,Anthocyanidin,
"2',3,4,4',6'-Pentamethoxychalcone",chalcone,
Butein,chalcone,
Phloretin,chalcone,
Xanthohumol D,chalcone,
"(2E)-3-(3,4-Dimethoxyphenyl)acrylic acid",cinnamic acids,
(E)-p-coumaric acid,cinnamic acids,
"[Similar to: Methyl (1S,4aS,7S,7aS)-1-(β-D-glucopyranosyloxy)-4'-[(1S)-1-{[(2E)-3-(4-hydroxyphenyl)-2-propenoyl]oxy}ethyl]-5'-oxo-4a,7a-dihydro-1H,5'H-spiro[cyclopenta[c]pyran-7,2'-furan]-4-carboxylate; ΔMass: 66.0626 Da]",cinnamic acids,
3-(4-Hydroxyphenyl)-2-(1-naphthyl)acrylic acid,cinnamic acids,
3-Feruloylquinic acid,cinnamic acids,
"3,4-Dimethoxyhydrocinnamic acid",cinnamic acids,
"4-[(2E)-3-(3,4-Dihydroxyphenyl)-2-propenoyl]-2,3-dihydroxyphenyl 2,4-di-O-acetyl-6-O-[(2E)-3-(4-hydroxyphenyl)-2-propenoyl]-beta-D-threo-hexopyranoside",cinnamic acids,
4-coumaroylshikimic acid,cinnamic acids,
4-Methoxycinnamic acid,cinnamic acids,
Abietin,cinnamic acids,
Caffeic acid,cinnamic acids,
celosianin II,cinnamic acids,tyrosin_Betanidin
Chlorogenic acid,cinnamic acids,
Cinnamaldehyde,cinnamic acids,
Ethyl cinnamate,cinnamic acids,
Eugenol,cinnamic acids,
Ferulic acid,cinnamic acids,
Hellicoside,cinnamic acids,
m-Coumaric acid,cinnamic acids,
Methyl caffeate,cinnamic acids,
Methyl caffeate/Ferulic acid,cinnamic acids,
Methyl cinnamate,cinnamic acids,
phenylpropiolic acid,cinnamic acids,
tiliroside,cinnamic acids,lignins_flavonols
trans-caffeic acid,cinnamic acids,
trans-Cinnamaldehyde,cinnamic acids,
Caffeic acid - STD,cinnamic acids,
(+/-)-2-Hydroxyglutaric acid,citrate,
(±)-Malic Acid,citrate,
2-methylcitric acid,citrate,
Citric acid,citrate,
DL-Malic acid,citrate,
Fumarate dianion,citrate,
Succinate,citrate,
Succinic acid,citrate,
Succinic semialdehyde,citrate,
"(6-OXO-7,8,9,10-TETRAHYDRO-6H-BENZO(C)CHROMEN-3-YLOXY)-ACETIC ACID",coumarins,
4-methylumbelliferyl alpha-L-arabinoside,coumarins,
"6,7-Dimethoxy-3-isochromanone",coumarins,
Coumarin,coumarins,
isocoumarin,coumarins,
Isopimpinellin,coumarins,furanocoumarin
Khellin,coumarins,furanochrome
marmesin,coumarins,
Notopterol,coumarins,
Scopoletin,coumarins,
Umbelliferone,coumarins,
Visnagin,coumarins,furanochrome
"5,7,4'-Trihydroxy-6-prenylflavanone",flavanone,
Prunin,flavanone,
Taxifolin,flavanone,
Taxifolin 3-galactosyl- (1->6) -glucoside,flavanone,
"2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-4-oxo-4H-chromen-8-yl beta-D-threo-hexopyranosiduronic acid",flavanone,
Eriodictyol,flavanone,
pinostrobin,flavanone,
aromadendrin,flavanonol,
DHM,flavanonol,
"2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-4-oxo-4H-chromen-3-yl 2-O-[(2E)-3-(3,4-dihydroxyphenyl)-2-propenoyl]-beta-D-erythro-hexopyranosiduronic acid",flavones,
"2-(3,4-Dihydroxyphenyl)-7-hydroxy-4-oxo-4H-chromen-5-yl methyl beta-D-threo-hexopyranosiduronate",flavones,
